,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
494,Chepe Mariscal,31,67,69.0,15-06-0,5-0,4.67,53%,3.95,52%,0.72,3.22,38%,100%,0.6,22,31.82%,13.64%,22.73%,45.45%,7,3,3,0,5,3,0,0,102.0,Featherweight Bout
495,Jamall Emmers,34,70,74.0,20-07-0,03-02,5.1,48%,3.79,57%,1.31,1.96,40%,90%,0.2,27,29.63%,11.11%,33.33%,40.74%,8,2,3,2,9,3,0,0,-221.0,Featherweight Bout
496,Jamall Emmers,34,70,74.0,19-07-0,02-03,4.95,47%,3.79,57%,1.16,1.98,40%,90%,0.2,26,27.00%,12.00%,35.00%,38.46%,7,2,3,2,9,3,0,0,-221.0,Featherweight Bout
497,Jamall Emmers,34,70,74.0,20-07-0,03-02,5.1,48%,3.79,57%,1.31,1.96,40%,90%,0.2,27,29.63%,11.11%,33.33%,40.74%,8,2,3,2,9,3,0,0,225.0,Featherweight Bout
498,Jamall Emmers,34,70,74.0,19-07-0,02-03,4.95,47%,3.79,57%,1.16,1.98,40%,90%,0.2,26,27.00%,12.00%,35.00%,38.46%,7,2,3,2,9,3,0,0,225.0,Featherweight Bout
499,Herbert Burns,36,69,73.0,11-04-0,03-02,1.61,51%,4.74,30%,-3.13,3.92,75%,60%,3.3,15,6.67%,53.33%,13.33%,60.00%,1,2,8,0,2,2,0,0,300.0,Featherweight Bout
500,Julian Erosa,34,73,74.0,28-11-0,03-02,6.22,48%,6.35,47%,-0.13,1.66,46%,61%,0.6,40,27.50%,30.00%,12.50%,57.50%,11,8,12,0,5,4,0,0,132.0,Featherweight Bout
501,Mitch Ramirez,31,71,71.0,08-01-0,04-01,3.69,52%,4.81,36%,-1.12,2.41,100%,0%,0.0,9,56.00%,22.00%,11.00%,77.78%,5,1,2,0,1,0,0,0,325.0,Featherweight Bout
502,Hyder Amil,33,70,70.0,8-0-0,5-0,1.73,52%,1.47,53%,0.26,0.0,0%,78%,1.0,8,50.00%,12.50%,37.50%,62.50%,4,0,1,0,3,0,0,0,-172.0,Featherweight Bout
503,Movsar Evloev,29,67,72.5,17-0-0,5-0,4.57,49%,2.74,61%,1.83,4.71,50%,71%,0.3,17,18.00%,24.00%,59.00%,41.18%,3,0,4,0,10,0,0,0,-181.0,Featherweight Bout
504,Westin Wilson,34,73,73.0,16-08-0,03-02,1.38,50%,7.59,26%,-6.21,0.0,0%,0%,10.3,24,21.00%,46.00%,0.00%,66.67%,5,2,11,4,0,2,0,0,600.0,Featherweight Bout
505,Mateus Mendonca,25,66,71.5,10-02-0,03-02,2.0,38%,6.25,26%,-4.25,1.47,14%,40%,0.0,11,27.00%,27.00%,27.00%,54.55%,3,1,3,0,3,1,0,0,-235.0,Flyweight Bout
506,Mateus Mendonca,25,66,71.5,10-02-0,03-02,2.0,38%,6.25,26%,-4.25,1.47,14%,40%,0.0,11,27.00%,27.00%,27.00%,54.55%,3,1,3,0,3,1,0,0,-155.0,Flyweight Bout
507,Jake Hadley,27,67,70.0,10-02-0,03-02,3.42,44%,3.2,60%,0.22,0.32,25%,35%,2.2,12,25.00%,41.67%,16.67%,66.67%,3,0,5,0,2,2,0,0,-164.0,Flyweight Bout
508,Kevin Borjas,26,65,68.0,09-02-0,04-01,5.4,41%,6.63,49%,-1.23,0.0,0%,56%,0.0,11,72.73%,0.00%,9.09%,72.73%,8,0,0,1,1,1,0,0,113.0,Flyweight Bout
509,Kevin Borjas,25,65,68.0,09-01-0,04-01,5.8,44%,2.87,55%,2.93,0.0,0%,58%,0.0,10,80.00%,0.00%,10.00%,80.00%,8,0,0,1,1,0,0,0,113.0,Flyweight Bout
510,Kevin Borjas,26,65,68.0,09-02-0,04-01,5.4,41%,6.63,49%,-1.23,0.0,0%,56%,0.0,11,72.73%,0.00%,9.09%,72.73%,8,0,0,1,1,1,0,0,-225.0,Flyweight Bout
511,Kevin Borjas,25,65,68.0,09-01-0,04-01,5.8,44%,2.87,55%,2.93,0.0,0%,58%,0.0,10,80.00%,0.00%,10.00%,80.00%,8,0,0,1,1,0,0,0,-225.0,Flyweight Bout
512,Ode Osbourne,32,67,73.0,12-06-0,03-02,3.74,39%,4.41,45%,-0.67,1.37,27%,68%,0.3,19,26.00%,21.00%,16.00%,47.37%,5,2,4,3,3,1,0,0,153.0,Flyweight Bout
513,Brandon Royval,31,69,70.5,15-07-0,03-02,3.8,43%,3.05,45%,0.75,0.43,66%,40%,1.5,22,18.00%,41.00%,9.00%,59.09%,4,1,9,1,2,5,0,0,235.0,Flyweight Bout
514,Brandon Royval,31,69,70.5,15-06-0,03-02,3.45,38%,2.63,50%,0.82,0.66,100%,39%,2.3,21,19.00%,43.00%,10.00%,61.90%,4,1,9,1,2,4,0,0,235.0,Flyweight Bout
515,Brandon Royval,31,69,70.5,15-07-0,03-02,3.8,43%,3.05,45%,0.75,0.43,66%,40%,1.5,22,18.00%,41.00%,9.00%,59.09%,4,1,9,1,2,5,0,0,160.0,UFC Flyweight Title Bout
516,Brandon Royval,31,69,70.5,15-06-0,03-02,3.45,38%,2.63,50%,0.82,0.66,100%,39%,2.3,21,19.00%,43.00%,10.00%,61.90%,4,1,9,1,2,4,0,0,160.0,UFC Flyweight Title Bout
517,Denys Bondar,31,66,69.0,19-04-0,03-02,4.89,45%,6.42,56%,-1.53,2.75,50%,62%,0.0,21,19.00%,62.00%,0.00%,80.95%,4,1,13,1,0,2,0,0,110.0,Flyweight Bout
518,Felipe dos Santos,23,67,70.0,07-01-0,3-1 (1 NC),6.6,32%,7.47,38%,-0.87,0.0,0%,0%,0.0,8,25.00%,38.00%,25.00%,62.50%,2,0,3,0,2,1,0,0,-285.0,Flyweight Bout
519,Andre Lima,25,67,67.0,7-0-0,5-0,4.07,66%,1.67,67%,2.4,1.0,100%,100%,0.0,7,71.43%,0.00%,28.57%,71.43%,5,0,0,0,2,0,0,0,-175.0,Flyweight Bout
520,Assu Almabayev,30,64,65.0,18-02-0,5-0,3.18,65%,0.49,77%,2.69,3.67,40%,0%,3.7,20,15.00%,45.00%,30.00%,60.00%,3,1,9,0,6,1,0,0,-220.0,Flyweight Bout
521,Muhammad Mokaev,23,67,70.0,10-0-0,5-0,1.12,51%,1.19,52%,-0.07,6.47,53%,0%,1.3,10,10.00%,60.00%,30.00%,70.00%,1,0,6,0,3,0,0,0,-355.0,Flyweight Bout
522,Daniel Lacerda,27,66,70.0,11-05-0,0-4 (1 NC),4.16,47%,8.7,34%,-4.54,1.91,42%,0%,1.3,16,31.00%,38.00%,0.00%,68.75%,5,4,6,1,0,0,0,0,290.0,Flyweight Bout
523,Azat Maksum,29,67,70.0,17-0-0,5-0,3.07,24%,5.4,61%,-2.33,2.0,18%,0%,0.0,16,31.00%,38.00%,31.00%,68.75%,5,0,6,0,5,0,0,0,-200.0,Flyweight Bout
524,Jimmy Flick,33,67,68.0,16-07-0,03-02,1.99,50%,5.05,38%,-3.06,1.66,27%,0%,4.4,23,0.00%,61.00%,9.00%,60.87%,0,6,14,0,2,1,0,0,115.0,Flyweight Bout
525,Felipe Bunes,34,67,71.0,13-06-0,03-02,0.0,0%,0.0,0%,0.0,0.0,0%,0%,0.0,19,16.00%,42.00%,11.00%,57.89%,3,0,8,2,2,4,0,0,180.0,Flyweight Bout
526,Cody Durden,32,67,67.0,16-04-0,04-01,3.13,49%,2.94,52%,0.19,5.41,50%,80%,0.4,21,29.00%,24.00%,24.00%,52.38%,6,0,5,3,5,1,0,0,145.0,Flyweight Bout
527,Shannon Ross,34,66,66.0,13-08-0,01-04,6.58,38%,8.93,52%,-2.35,0.0,0%,100%,0.0,21,33.00%,5.00%,24.00%,38.10%,7,4,1,1,5,3,0,0,375.0,Flyweight Bout
528,Talita Alencar,33,61,58.5,4-0-1,4-0-1,2.33,38%,5.8,42%,-3.47,4.0,16%,0%,0.0,5,0.00%,60.00%,20.00%,60.00%,0,0,3,0,1,0,0,0,135.0,Flyweight Bout
529,Rafael Estevam,27,68,69.0,11-0-0,5-0,6.47,80%,0.4,50%,6.07,4.04,50%,0%,0.0,11,36.00%,27.00%,36.00%,63.64%,4,0,3,0,4,0,0,0,155.0,Flyweight Bout
530,Caio Machado,29,76,78.0,08-02-0,04-01,6.57,64%,1.87,64%,4.7,0.0,0%,82%,0.0,11,36.36%,18.18%,18.18%,54.55%,4,0,2,0,2,2,0,0,-113.0,Heavyweight Bout
531,Caio Machado,29,76,78.0,08-01-0,5-0,8.07,69%,1.13,71%,6.94,0.0,0%,100%,0.0,10,40.00%,20.00%,20.00%,60.00%,4,0,2,0,2,1,0,0,-113.0,Heavyweight Bout
532,Caio Machado,29,76,78.0,08-02-0,04-01,6.57,64%,1.87,64%,4.7,0.0,0%,82%,0.0,11,36.36%,18.18%,18.18%,54.55%,4,0,2,0,2,2,0,0,-285.0,Heavyweight Bout
533,Caio Machado,29,76,78.0,08-01-0,5-0,8.07,69%,1.13,71%,6.94,0.0,0%,100%,0.0,10,40.00%,20.00%,20.00%,60.00%,4,0,2,0,2,1,0,0,-285.0,Heavyweight Bout
534,Shamil Gaziev,34,76,78.0,12-0-0,5-0,6.19,51%,0.93,60%,5.26,0.0,0%,100%,1.8,12,67.00%,25.00%,8.00%,91.67%,8,0,3,0,1,0,0,0,-160.0,Heavyweight Bout
535,Shamil Gaziev,33,76,78.5,11-0-0,5-0,1.52,100%,0.0,0%,1.52,0.0,0%,0%,5.7,11,64.00%,27.00%,9.00%,90.91%,7,0,3,0,1,0,0,0,-160.0,Heavyweight Bout
536,Shamil Gaziev,34,76,78.0,12-0-0,5-0,6.19,51%,0.93,60%,5.26,0.0,0%,100%,1.8,12,67.00%,25.00%,8.00%,91.67%,8,0,3,0,1,0,0,0,123.0,Heavyweight Bout
537,Shamil Gaziev,33,76,78.5,11-0-0,5-0,1.52,100%,0.0,0%,1.52,0.0,0%,0%,5.7,11,64.00%,27.00%,9.00%,90.91%,7,0,3,0,1,0,0,0,123.0,Heavyweight Bout
538,Jamal Pogues,28,75,77.0,10-04-0,03-02,3.12,42%,4.25,52%,-1.13,3.0,48%,66%,0.0,14,29.00%,7.00%,36.00%,35.71%,4,1,1,2,5,1,0,0,145.0,Heavyweight Bout
539,Jhonata Diniz,32,76,79.0,6-0-0,5-0,7.69,42%,7.38,36%,0.31,0.0,0%,100%,0.0,6,100.00%,0.00%,0.00%,100.00%,6,0,0,0,0,0,0,0,-240.0,Heavyweight Bout
540,Justin Tafa,30,72,74.0,07-03-0,3-1 (1 NC),5.13,55%,5.93,49%,-0.8,0.0,0%,100%,0.0,11,63.64%,0.00%,0.00%,63.64%,7,1,0,0,0,2,0,0,155.0,Heavyweight Bout
541,Justin Tafa,30,72,74.0,07-03-0,3-1 (1 NC),5.13,55%,5.93,49%,-0.8,0.0,0%,100%,0.0,10,70.00%,0.00%,0.00%,70.00%,7,1,0,0,0,2,0,0,155.0,Heavyweight Bout
542,Justin Tafa,30,72,74.0,07-03-0,3-1 (1 NC),5.13,55%,5.93,49%,-0.8,0.0,0%,100%,0.0,11,63.64%,0.00%,0.00%,63.64%,7,1,0,0,0,2,0,0,120.0,Heavyweight Bout
543,Justin Tafa,30,72,74.0,07-03-0,3-1 (1 NC),5.13,55%,5.93,49%,-0.8,0.0,0%,100%,0.0,10,70.00%,0.00%,0.00%,70.00%,7,1,0,0,0,2,0,0,120.0,Heavyweight Bout
544,Marcin Tybura,38,75,78.0,24-08-0,03-02,3.55,48%,3.35,55%,0.2,1.39,33%,79%,0.1,32,28.00%,19.00%,28.00%,46.88%,9,5,6,0,9,3,0,0,105.0,Heavyweight Bout
545,Josh Parisian,34,76,79.0,15-07-0,02-03,4.54,48%,4.81,41%,-0.27,0.99,33%,46%,0.2,22,50.00%,9.09%,9.09%,59.09%,11,2,2,2,2,3,0,0,-575.0,Heavyweight Bout
546,Bogdan Guskov,31,75,76.0,15-03-0,04-01,2.43,33%,5.81,40%,-3.38,0.0,0%,66%,0.0,18,72.22%,11.11%,0.00%,83.33%,13,1,2,1,0,1,0,0,170.0,Light Heavyweight Bout
547,Bogdan Guskov,31,75,76.0,14-03-0,04-01,2.12,32%,6.9,43%,-4.78,0.0,0%,0%,0.0,17,70.59%,11.76%,0.00%,82.35%,12,1,2,1,0,1,0,0,170.0,Light Heavyweight Bout
548,Bogdan Guskov,31,75,76.0,15-03-0,04-01,2.43,33%,5.81,40%,-3.38,0.0,0%,66%,0.0,18,72.22%,11.11%,0.00%,83.33%,13,1,2,1,0,1,0,0,115.0,Light Heavyweight Bout
549,Bogdan Guskov,31,75,76.0,14-03-0,04-01,2.12,32%,6.9,43%,-4.78,0.0,0%,0%,0.0,17,70.59%,11.76%,0.00%,82.35%,12,1,2,1,0,1,0,0,115.0,Light Heavyweight Bout
550,Kennedy Nzechukwu,31,77,83.0,12-04-0,03-02,4.86,46%,4.27,51%,0.59,0.68,50%,80%,0.3,16,50.00%,6.00%,19.00%,56.25%,8,2,1,1,3,1,0,0,-510.0,Light Heavyweight Bout
551,Philipe Lins,38,74,78.0,17-05-0,02-03,3.59,46%,3.73,44%,-0.14,1.55,35%,100%,0.0,22,40.91%,18.18%,18.18%,59.09%,9,4,4,0,4,1,0,0,125.0,Light Heavyweight Bout
552,Khalil Rountree Jr.,33,73,76.5,12-05-0,04-01,3.73,38%,4.16,50%,-0.43,0.0,0%,56%,0.1,17,47.00%,0.00%,24.00%,47.06%,8,2,0,1,4,2,0,0,-240.0,Light Heavyweight Bout
553,Ihor Potieria,27,75,75.0,21-05-0,02-03,5.19,50%,5.01,51%,0.18,0.0,0%,57%,0.0,25,36.00%,24.00%,20.00%,60.00%,9,4,6,0,5,1,0,0,300.0,Light Heavyweight Bout
554,Ihor Potieria,27,75,75.0,20-05-0,02-03,5.59,56%,6.56,41%,-0.97,0.0,0%,57%,0.0,25,36.00%,28.00%,16.00%,64.00%,9,4,7,0,4,1,0,0,300.0,Light Heavyweight Bout
555,Ihor Potieria,27,75,75.0,20-04-0,03-02,4.44,56%,5.52,42%,-1.08,0.0,0%,33%,0.0,24,38.00%,29.00%,17.00%,66.67%,9,3,7,0,4,1,0,0,300.0,Light Heavyweight Bout
556,Ihor Potieria,27,75,75.0,21-05-0,02-03,5.19,50%,5.01,51%,0.18,0.0,0%,57%,0.0,25,36.00%,24.00%,20.00%,60.00%,9,4,6,0,5,1,0,0,425.0,Middleweight Bout
557,Ihor Potieria,27,75,75.0,20-05-0,02-03,5.59,56%,6.56,41%,-0.97,0.0,0%,57%,0.0,25,36.00%,28.00%,16.00%,64.00%,9,4,7,0,4,1,0,0,425.0,Middleweight Bout
558,Ihor Potieria,27,75,75.0,20-04-0,03-02,4.44,56%,5.52,42%,-1.08,0.0,0%,33%,0.0,24,38.00%,29.00%,17.00%,66.67%,9,3,7,0,4,1,0,0,425.0,Middleweight Bout
559,Ihor Potieria,27,75,75.0,21-05-0,02-03,5.19,50%,5.01,51%,0.18,0.0,0%,57%,0.0,25,36.00%,24.00%,20.00%,60.00%,9,4,6,0,5,1,0,0,165.0,Middleweight Bout
560,Ihor Potieria,27,75,75.0,20-05-0,02-03,5.59,56%,6.56,41%,-0.97,0.0,0%,57%,0.0,25,36.00%,28.00%,16.00%,64.00%,9,4,7,0,4,1,0,0,165.0,Middleweight Bout
561,Ihor Potieria,27,75,75.0,20-04-0,03-02,4.44,56%,5.52,42%,-1.08,0.0,0%,33%,0.0,24,38.00%,29.00%,17.00%,66.67%,9,3,7,0,4,1,0,0,165.0,Middleweight Bout
562,Carlos Ulberg,33,76,77.0,10-01-0,5-0,7.29,59%,3.59,52%,3.7,0.95,75%,75%,0.3,11,54.55%,18.18%,18.18%,72.73%,6,1,2,0,2,0,0,0,-254.0,Light Heavyweight Bout
563,Aleksandar Rakic,32,76,78.0,14-03-0,03-02,4.01,50%,2.3,53%,1.71,0.82,25%,90%,0.2,17,52.94%,5.88%,23.53%,58.82%,9,1,1,1,4,1,0,0,-123.0,Light Heavyweight Bout
564,Anton Turkalj,27,76,78.0,08-03-0,02-03,1.72,53%,2.48,49%,-0.76,6.55,51%,16%,0.0,11,45.45%,18.18%,9.09%,63.64%,5,1,2,1,1,1,0,0,110.0,Light Heavyweight Bout
565,Tyson Pedro,32,75,79.0,10-04-0,03-02,3.11,61%,2.53,54%,0.58,0.94,36%,52%,0.9,14,36.00%,36.00%,0.00%,71.43%,5,1,5,1,0,2,0,0,269.0,Light Heavyweight Bout
566,Brendson Ribeiro,27,75,81.0,15-05-0,03-02,8.46,46%,5.29,64%,3.17,0.0,0%,0%,0.0,20,45.00%,30.00%,0.00%,75.00%,9,2,6,2,0,1,0,0,101.0,Light Heavyweight Bout
567,Marcin Prachnio,35,75,74.0,16-07-0,03-02,5.39,55%,3.25,53%,2.14,0.0,0%,54%,0.0,23,47.83%,4.35%,17.39%,52.17%,11,4,1,1,4,2,0,0,180.0,Light Heavyweight Bout
568,Johnny Walker,31,78,72.0,21-7 (1 NC),3-1 (1 NC),3.87,56%,2.64,45%,1.23,0.5,100%,57%,1.0,28,57.00%,11.00%,7.00%,67.86%,16,4,3,1,2,2,0,0,375.0,Light Heavyweight Bout
569,Karol Rosa,28,65,67.5,17-05-0,03-02,5.43,55%,4.17,48%,1.26,1.38,47%,68%,0.0,22,18.00%,9.00%,50.00%,27.27%,4,0,2,2,11,3,0,0,185.0,Light Heavyweight Bout
570,Viacheslav Borshchev,32,71,69.0,07-03-0,02-02-2001,5.82,58%,4.07,56%,1.75,0.0,0%,36%,0.0,11,54.55%,0.00%,9.09%,54.55%,6,0,0,0,1,3,0,0,-130.0,Lightweight Bout
571,Viacheslav Borshchev,31,71,69.0,07-03-0,03-02,4.63,57%,3.44,56%,1.19,0.0,0%,35%,0.0,10,60.00%,0.00%,10.00%,60.00%,6,0,0,0,1,3,0,0,-130.0,Lightweight Bout
572,Viacheslav Borshchev,32,71,69.0,07-03-0,02-02-2001,5.82,58%,4.07,56%,1.75,0.0,0%,36%,0.0,11,54.55%,0.00%,9.09%,54.55%,6,0,0,0,1,3,0,0,-150.0,Lightweight Bout
573,Viacheslav Borshchev,31,71,69.0,07-03-0,03-02,4.63,57%,3.44,56%,1.19,0.0,0%,35%,0.0,10,60.00%,0.00%,10.00%,60.00%,6,0,0,0,1,3,0,0,-150.0,Lightweight Bout
574,Esteban Ribovics,28,70,69.0,12-01-0,04-01,6.16,52%,3.4,52%,2.76,0.95,66%,60%,0.5,13,46.15%,38.46%,7.69%,84.62%,6,0,5,0,1,1,0,0,-168.0,Lightweight Bout
575,Chris Padilla,28,69,74.0,13-06-0,04-01,0.0,0%,0.0,0%,0.0,0.0,0%,0%,0.0,19,36.84%,21.05%,10.53%,57.89%,7,1,4,2,2,3,0,0,285.0,Lightweight Bout
576,Maheshate,24,72,71.0,09-03-0,03-02,2.91,26%,4.86,49%,-1.95,0.0,0%,45%,0.0,12,33.33%,8.33%,33.33%,41.67%,4,1,1,0,4,2,0,0,-192.0,Lightweight Bout
577,Arman Tsarukyan,27,67,72.0,21-03-0,04-01,3.85,48%,1.91,54%,1.94,3.4,36%,75%,0.0,24,37.50%,20.83%,29.17%,58.33%,9,1,5,0,7,2,0,0,-225.0,Lightweight Bout
578,Arman Tsarukyan,27,67,72.5,20-03-0,04-01,3.82,48%,1.91,54%,1.91,3.43,36%,75%,0.0,23,35.00%,22.00%,30.00%,56.52%,8,1,5,0,7,2,0,0,-225.0,Lightweight Bout
579,Arman Tsarukyan,27,67,72.0,21-03-0,04-01,3.85,48%,1.91,54%,1.94,3.4,36%,75%,0.0,24,37.50%,20.83%,29.17%,58.33%,9,1,5,0,7,2,0,0,-300.0,Lightweight Bout
580,Arman Tsarukyan,27,67,72.5,20-03-0,04-01,3.82,48%,1.91,54%,1.91,3.43,36%,75%,0.0,23,35.00%,22.00%,30.00%,56.52%,8,1,5,0,7,2,0,0,-300.0,Lightweight Bout
581,Lukasz Brzeski,31,76,78.0,08-04-0,1-3 (1 NC),5.08,48%,3.46,57%,1.62,0.64,50%,42%,0.6,14,42.86%,7.14%,7.14%,50.00%,6,2,1,0,1,2,0,0,250.0,Lightweight Bout
582,Loik Radzhabov,28,68,69.0,15-03-0,5-0,2.61,42%,5.31,46%,-2.7,7.3,52%,50%,0.0,23,30.00%,22.00%,22.00%,52.17%,7,1,5,0,5,4,0,0,157.0,Lightweight Bout
583,Tom Nolan,23,75,76.0,6-0,5-0,9.4,54%,1.45,50%,7.95,0.0,0%,0%,0.0,6,67.00%,0.00%,33.00%,66.67%,4,0,0,0,2,0,0,0,-330.0,Lightweight Bout
584,Allan Nascimento,32,68,69.5,20-06-0,03-02,3.21,61%,2.28,50%,0.93,1.55,26%,16%,0.9,26,4.00%,58.00%,15.00%,61.54%,1,0,15,0,4,6,0,0,-325.0,Lightweight Bout
585,Joe Solecki,30,69,70.5,13-03-0,04-01,2.24,55%,1.53,52%,0.71,2.51,50%,50%,1.6,16,6.00%,50.00%,25.00%,56.25%,1,1,8,0,4,2,0,0,105.0,Lightweight Bout
586,Jordan Leavitt,28,69,71.0,11-02-0,03-02,2.64,60%,1.93,56%,0.71,2.31,26%,30%,1.2,13,15.00%,46.00%,23.00%,61.54%,2,0,6,1,3,1,0,0,-180.0,Lightweight Bout
587,Myktybek Orolbai,26,70,74.0,12-01-0,5-0,0.87,40%,1.52,48%,-0.65,11.41,70%,0%,1.6,14,42.86%,35.71%,7.14%,78.57%,6,0,5,0,1,1,0,0,-265.0,Lightweight Bout
588,Vinc Pichel,41,70,72.0,14-03-0,03-02,3.56,47%,2.5,58%,1.06,3.0,54%,23%,0.2,17,47.06%,0.00%,35.29%,47.06%,8,1,0,1,6,1,0,0,400.0,Lightweight Bout
589,Michal Figlak,27,70,70.0,08-01-0,04-01,1.87,29%,4.0,44%,-2.13,1.0,20%,57%,0.0,9,44.44%,0.00%,44.44%,44.44%,4,0,0,0,4,1,0,0,-170.0,Lightweight Bout
590,Max Holloway,32,71,69.0,25-07-0,04-01,7.17,47%,4.75,59%,2.42,0.27,53%,84%,0.3,32,34.38%,6.25%,37.50%,40.62%,11,0,2,1,12,6,0,0,150.0,Lightweight Bout
591,Christos Giagos,34,70,71.0,20-11-0,02-03,2.98,42%,2.95,51%,0.03,2.93,37%,52%,0.4,31,25.81%,12.90%,25.81%,38.71%,8,2,4,6,8,3,0,0,270.0,Lightweight Bout
592,Mike Davis,31,72,72.0,10-02-0,04-01,5.83,52%,6.2,56%,-0.37,3.04,53%,69%,0.2,12,58.00%,8.00%,17.00%,66.67%,7,0,1,1,2,1,0,0,-315.0,Lightweight Bout
593,Cory McKenna,24,63,58.0,08-02-0,04-01,3.01,40%,3.22,48%,-0.21,2.04,56%,71%,0.5,10,20.00%,20.00%,40.00%,40.00%,2,0,2,0,4,2,0,0,-129.0,Lightweight Bout
594,Benoit Saint Denis,28,71,73.0,13-01-0,5-0,5.53,52%,5.2,44%,0.33,4.55,36%,66%,1.4,15,26.67%,60.00%,0.00%,86.67%,4,0,9,0,0,1,0,0,-200.0,Lightweight Bout
595,Benoit Saint Denis,27,71,73.0,12-01-0,04-01,5.59,52%,5.27,44%,0.32,4.72,36%,80%,1.4,13,23.00%,69.00%,0.00%,92.31%,3,0,9,0,0,1,0,0,-200.0,Lightweight Bout
596,Benoit Saint Denis,28,71,73.0,13-01-0,5-0,5.53,52%,5.2,44%,0.33,4.55,36%,66%,1.4,15,26.67%,60.00%,0.00%,86.67%,4,0,9,0,0,1,0,0,186.0,Lightweight Bout
597,Benoit Saint Denis,27,71,73.0,12-01-0,04-01,5.59,52%,5.27,44%,0.32,4.72,36%,80%,1.4,13,23.00%,69.00%,0.00%,92.31%,3,0,9,0,0,1,0,0,186.0,Lightweight Bout
598,Rafael Dos Anjos,39,68,70.0,32-15-0,03-02,3.52,47%,3.19,60%,0.33,2.01,35%,56%,0.6,47,10.64%,23.40%,34.04%,34.04%,5,3,11,1,16,11,0,0,355.0,Lightweight Bout
599,AJ Cunningham,29,70,71.0,11-03-0,04-01,7.58,24%,11.32,54%,-3.74,0.0,0%,0%,0.0,14,29.00%,29.00%,21.00%,57.14%,4,1,4,0,3,2,0,0,575.0,Lightweight Bout
600,Francisco Prado,21,71,69.0,12-01-0,04-01,3.46,50%,3.83,46%,-0.37,0.0,0%,25%,0.8,13,46.00%,46.00%,0.00%,92.31%,6,0,6,0,0,1,0,0,220.0,Lightweight Bout
601,Chris Duncan,30,70,71.5,11-01-0,04-01,5.08,46%,3.74,49%,1.34,3.63,39%,100%,0.0,12,58.00%,8.00%,25.00%,66.67%,7,1,1,0,3,0,0,0,145.0,Lightweight Bout
602,Fares Ziam,26,73,75.0,14-04-0,04-01,2.82,47%,2.01,65%,0.81,0.97,23%,75%,0.0,18,22.00%,28.00%,28.00%,50.00%,4,0,5,3,5,1,0,0,-220.0,Lightweight Bout
603,Darrius Flowers,29,69,71.0,12-06-0,04-01,4.19,56%,7.02,40%,-2.83,1.7,33%,100%,0.0,19,42.11%,5.26%,15.79%,47.37%,8,1,1,5,3,0,0,0,101.0,Lightweight Bout
604,Bolaji Oki,28,70,73.0,08-01-0,5-0,11.57,53%,4.34,62%,7.23,0.0,0%,0%,0.0,9,55.56%,11.11%,22.22%,66.67%,5,0,1,0,2,1,0,0,-285.0,Lightweight Bout
605,Landon Quinones,28,69,70.0,07-02-0,04-01,9.87,41%,11.4,54%,-1.53,0.0,0%,100%,0.0,10,50.00%,10.00%,10.00%,60.00%,5,0,1,0,1,2,0,0,122.0,Lightweight Bout
606,Paddy Pimblett,28,70,73.0,20-03-0,5-0,4.19,46%,3.48,41%,0.71,0.97,25%,56%,2.4,23,22.00%,43.00%,22.00%,65.22%,5,0,10,1,5,2,0,0,-286.0,Lightweight Bout
607,Stephanie Egger,35,66,68.0,08-04-0,03-02,1.93,53%,2.08,53%,-0.15,3.04,40%,50%,0.8,12,25.00%,33.00%,8.00%,58.33%,3,0,4,2,1,2,0,0,148.0,Lightweight Bout
608,Dustin Stoltzfus,32,72,75.0,14-05-0,01-04,2.96,41%,3.28,46%,-0.32,1.76,35%,46%,0.5,19,11.00%,26.00%,32.00%,36.84%,2,1,5,2,6,2,1,0,260.0,Lightweight Bout
609,Roosevelt Roberts,29,74,73.0,12-03-0,2-2 (1 NC),3.14,44%,3.12,53%,0.02,1.44,29%,58%,0.9,15,27.00%,33.00%,20.00%,60.00%,4,1,5,1,3,1,0,0,-650.0,Lightweight Bout
610,Mark Madsen,39,68,72.0,12-01-0,04-01,3.24,47%,3.67,53%,-0.43,3.09,66%,62%,0.0,13,23.00%,23.00%,46.00%,46.15%,3,0,3,1,6,0,0,0,-220.0,Lightweight Bout
611,Bruno Silva,34,72,74.0,23-10-0,01-04,4.43,51%,5.33,43%,-0.9,1.09,27%,73%,0.0,33,60.61%,0.00%,9.09%,60.61%,20,0,0,7,3,2,0,1,-270.0,Middleweight Bout
612,Jacob Malkoun,28,69,73.0,07-03-0,03-02,3.89,56%,2.49,50%,1.4,7.2,44%,0%,0.5,10,20.00%,0.00%,50.00%,20.00%,2,1,0,0,5,1,0,1,-234.0,Middleweight Bout
613,Marc-Andre Barriault,33,73,74.0,16-06-0,03-02,5.95,47%,5.22,53%,0.73,0.24,25%,67%,0.1,22,45.00%,5.00%,23.00%,50.00%,10,1,1,1,5,4,0,0,145.0,Middleweight Bout
