,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
408,Amanda Ribas,30,63,66.0,11-04-0,02-03,4.73,42%,3.24,64%,1.49,2.27,53%,88%,0.9,15,13.00%,27.00%,33.00%,40.00%,2,3,4,0,5,1,0,0,200.0,Women's Flyweight Bout
409,Amanda Ribas,30,63,66.0,12-04-0,03-02,4.92,42%,3.33,63%,1.59,1.99,51%,87%,0.8,16,18.75%,25.00%,31.25%,43.75%,3,3,4,0,5,1,0,0,230.0,Women's Strawweight Bout
410,Amanda Ribas,30,63,66.0,11-04-0,02-03,4.73,42%,3.24,64%,1.49,2.27,53%,88%,0.9,15,13.00%,27.00%,33.00%,40.00%,2,3,4,0,5,1,0,0,230.0,Women's Strawweight Bout
411,Katlyn Cerminara,35,69,68.0,18-05-0,04-01,4.59,34%,4.41,63%,0.18,0.27,15%,54%,0.3,23,8.70%,4.35%,65.22%,13.04%,2,2,1,0,15,3,0,0,170.0,Women's Flyweight Bout
412,Joanne Wood,38,66,65.0,16-08-0,02-03,6.93,51%,4.72,51%,2.21,1.57,54%,59%,0.3,24,20.83%,4.17%,41.67%,25.00%,5,0,1,5,10,3,0,0,-133.0,Women's Flyweight Bout
413,Andrea Lee,35,66,69.5,13-08-0,02-03,4.91,47%,3.69,63%,1.22,1.84,57%,54%,0.6,21,14.00%,24.00%,24.00%,38.10%,3,0,5,1,5,7,0,0,145.0,Women's Flyweight Bout
414,Natalia Silva,27,64,65.0,16-05-0,5-0,5.2,48%,2.23,65%,2.97,0.68,33%,92%,0.0,22,23.00%,32.00%,14.00%,54.55%,5,1,7,2,3,2,1,0,-350.0,Women's Flyweight Bout
415,Luana Carolina,30,66,69.0,09-04-0,03-02,4.65,50%,4.0,47%,0.65,0.15,25%,76%,0.7,13,15.00%,8.00%,46.00%,23.08%,2,1,1,1,6,2,0,0,-101.0,Women's Flyweight Bout
416,Karolina Kowalkiewicz,38,63,64.0,16-07-0,04-01,5.92,43%,5.55,59%,0.37,0.36,26%,74%,0.2,23,4.35%,13.04%,52.17%,17.39%,1,1,3,2,12,4,0,0,-142.0,Women's Strawweight Bout
417,Karolina Kowalkiewicz,38,63,64.0,16-07-0,04-01,5.92,43%,5.55,59%,0.37,0.36,26%,74%,0.2,23,4.35%,13.04%,52.17%,17.39%,1,1,3,2,12,4,0,0,355.0,Women's Strawweight Bout
418,Tabatha Ricci,29,61,61.0,09-02-0,04-01,4.41,37%,4.86,59%,-0.45,3.39,41%,71%,0.2,11,9.09%,27.27%,45.45%,36.36%,1,1,3,0,5,1,0,0,-135.0,Women's Strawweight Bout
419,Tabatha Ricci,28,61,61.0,09-01-0,04-01,4.12,37%,4.45,61%,-0.33,4.23,48%,66%,0.2,10,10.00%,30.00%,50.00%,40.00%,1,1,3,0,5,0,0,0,-135.0,Women's Strawweight Bout
420,Tabatha Ricci,29,61,61.0,09-02-0,04-01,4.41,37%,4.86,59%,-0.45,3.39,41%,71%,0.2,11,9.09%,27.27%,45.45%,36.36%,1,1,3,0,5,1,0,0,-145.0,Women's Strawweight Bout
