,Fighter 1,Fighter 2,Outcome
131,James Llontop,Chris Padilla,L/W
132,Gabriel Benitez,Maheshate,L/W
133,Charles Oliveira,Arman Tsarukyan,L/W
134,Jalin Turner,Renato Moicano,L/W
135,Valter Walker,Lukasz Brzeski,L/W
136,Kurt Holobaugh,Trey Ogden,L/W
137,Abdul-Kareem Al-Selwady,Loik Radzhabov,L/W
138,Nikolas Motta,Tom Nolan,W/L
139,Sumudaerji,Allan Nascimento,W/L
140,Drakkar Klose,Joe Solecki,W/L
141,Chase Hooper,Jordan Leavitt,W/L
142,Chase Hooper,Viacheslav Borshchev,W/L
143,Elves Brener,Myktybek Orolbai,L/W
144,Joaquim Silva,Drakkar Klose,L/W
145,Mauricio Ruffy,Jamie Mullarkey,W/L
146,Ismael Bonfim,Vinc Pichel,W/L
147,Austin Hubbard,Michal Figlak,W/L
148,Justin Gaethje,Max Holloway,L/W
149,Bobby Green,Jim Miller,W/L
150,Ignacio Bahamondes,Christos Giagos,W/L
151,Natan Levy,Mike Davis,L/W
152,Jaqueline Amorim,Cory McKenna,W/L
153,Dustin Poirier,Benoit Saint Denis,W/L
154,Mateusz Gamrot,Rafael Dos Anjos,W/L
155,Ludovit Klein,AJ Cunningham,W/L
156,Daniel Zellhuber,Francisco Prado,W/L
157,Manuel Torres,Chris Duncan,W/L
158,Claudio Puelles,Fares Ziam,L/W
159,Michael Johnson,Darrius Flowers,W/L
160,Damir Hadzovic,Bolaji Oki,W/L
161,Renato Moicano,Drew Dober,W/L
162,Marquel Mederos,Landon Quinones,L/W
163,Jim Miller,Gabriel Benitez,W/L
164,Tony Ferguson,Paddy Pimblett,L/W
165,Luana Santos,Stephanie Egger,W/L
166,Beneil Dariush,Arman Tsarukyan,L/W
167,Jalin Turner,Bobby Green,W/L
168,Punahele Soriano,Dustin Stoltzfus,L/W
169,Trey Ogden,Nikolas Motta,NC/NC
170,Matt Frevola,Benoit Saint Denis,L/W
171,Mateusz Rebecki,Roosevelt Roberts,W/L
172,Jared Gordon,Mark Madsen,W/L
173,Kaue Fernandes,Marc Diakiese,L/W
174,Terrance McKinney,Brendon Marotte,W/L
175,Joe Pyfer,Abdul Razak Alhassan,W/L
176,Chris Weidman,Bruno Silva,W/L
177,Andre Petroski,Jacob Malkoun,L/W
178,Jack Hermansson,Joe Pyfer,W/L
179,Chris Curtis,Marc-Andre Barriault,W/L
180,Phil Hawes,Brunno Ferreira,L/W
181,Michel Pereira,Ihor Potieria,W/L
182,Paul Craig,Caio Borralho,L/W
183,Bo Nickal,Cody Brundage,W/L
184,Brendan Allen,Chris Curtis,W/L
185,Dylan Budka,Cesar Almeida,L/W
186,Nursulton Ruziboev,Sedriques Dumas,W/L
187,Edmen Shahbazyan,AJ Dobson,W/L
188,Gerald Meerschaert,Bryan Barberena,W/L
189,Michel Pereira,Michal Oleksiejczuk,W/L
190,Eryk Anders,Jamie Pickett,W/L
191,Christian Leroy Duncan,Claudio Ribeiro,W/L
192,Robert Whittaker,Paulo Costa,W/L
193,Anthony Hernandez,Roman Kopylov,W/L
194,Robert Bryczek,Ihor Potieria,L/W
195,Brad Tavares,Gregory Rodrigues,L/W
196,Rodolfo Vieira,Armen Petrosyan,W/L
197,Nassourdine Imavov,Roman Dolidze,L/W
198,JunYong Park,Andre Muniz,L/W
199,Clay Guida,Joaquim Silva,L/W
200,Zach Reese,Cody Brundage,L/W
201,Brendan Allen,Paul Craig,W/L
202,Denis Tiuliulin,Christian Leroy Duncan,W/L
203,Caio Borralho,Abus Magomedov,W/L
204,Andre Petroski,Michel Pereira,L/W
205,Sean O'Malley,Marlon Vera,W/L
206,Alexander Volkanovski,Ilia Topuria,L/W
207,Alexandre Pantoja,Steve Erceg,W/L
208,Alexandre Pantoja,Brandon Royval,W/L
209,Sergei Pavlovich,Tom Aspinall,L/W
210,Alex Pereira,Jamahal Hill,W/L
211,Jiri Prochazka,Alex Pereira,L/W
212,Sean Strickland,Dricus Du Plessis,L/W
213,Leon Edwards,Colby Covington,W/L
214,Raquel Pennington,Mayra Bueno Silva,W/L
215,Zhang Weili,Yan Xiaonan,W/L
216,Alex Morono,Joaquin Buckley,L/W
217,Elizeu Zaleski dos Santos,Rinat Fakhretdinov,D/D
218,Joaquin Buckley,Nursulton Ruziboev,W/L
219,Billy Goff,Trey Waters,L/W
220,Vicente Luque,Joaquin Buckley,L/W
221,Max Griffin,Jeremiah Wells,W/L
222,Gilbert Urbina,Charles Radtke,L/W
223,Pete Rodriguez,Themba Gorimbo,W/L
224,Yohan Lainesse,Sam Patterson,L/W
225,Matthew Semelsberger,Preston Parsons,L/W
226,Sean Brady,Kelvin Gastelum,W/L
227,Jonny Parsons,Uros Medic,L/W
228,Gabriel Bonfim,Nicolas Dalby,L/W
229,Bryan Battle,Ange Loosa,NC/NC
230,Tim Means,Uros Medic,L/W
231,Trevor Peek,Charlie Campbell,L/W
232,Chidi Njokuani,Rhys McKee,W/L
233,Kevin Holland,Michael Page,L/W
234,Gilbert Burns,Jack Della Maddalena,L/W
235,Geoff Neal,Ian Garry,L/W
236,Josh Quinlan,Danny Barlow,L/W
237,Oban Elliott,Val Woodburn,W/L
238,Trevin Giles,Carlos Prates,L/W
239,Randy Brown,Muslim Salikhov,W/L
240,Neil Magny,Mike Malott,W/L
241,Shavkat Rakhmonov,Stephen Thompson,W/L
242,Song Kenan,Kevin Jousset,L/W
243,Wellington Turman,Jared Gooden,L/W
244,Michael Morales,Jake Matthews,W/L
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,Womens,,
294,,,
295,Norma Dumont,Germaine de Randamie,W/L
296,Montserrat Rendon,Dariya Zheleznyakova,L/W
297,Pannie Kianzad,Macy Chiasson,L/W
298,Josiane Nunes,Chelsea Chandler,L/W
299,Miesha Tate,Julia Avila,W/L
300,Irina Alekseeva,Melissa Dixon,L/W
301,Nora Cornolle,Melissa Mullins,L/W
302,Jasmine Jasudavicius,Priscila Cachoeira,W/L
303,Cody Garbrandt,Brian Kelleher,W/L
304,Tatsuro Taira,Carlos Hernandez,W/L
305,Lucie Pudilova,Ailin Perez,L/W
306,Tainara Lisboa,Ravena Oliveira,W/L
307,Holly Holm,Kayla Harrison,L/W
308,Montana De La Rosa,JJ Aldrich,L/W
309,JJ Aldrich,Veronica Hardy,L/W
310,Dione Barbosa,Ernesta Kareckaite,W/L
311,Erin Blanchfield,Manon Fiorot,L/W
312,Dustin Jacoby,Alonzo Menifield,L/W
313,Veronica Hardy,Jamey-Lyn Horth,W/L
314,Jennifer Maia,Viviane Araujo,L/W
315,Ariane Lipski,Karine Silva,L/W
316,Ivana Petrovic,Liang Na,W/L
317,Amanda Ribas,Rose Namajunas,L/W
318,Katlyn Cerminara,Maycee Barber,L/W
319,Joanne Wood,Maryna Moroz,W/L
320,Andrea Lee,Miranda Maverick,L/W
321,Natalia Silva,Viviane Araujo,L/W
322,Luana Carolina,Julija Stoliarenko,W/L
323,Karolina Kowalkiewicz,Diana Belbita,W/L
324,Vanessa Demopoulos,Kanako Murata,W/L
325,Tabatha Ricci,Tecia Pennington,W/L
326,Diana Belbita,Molly McCann,W/L
327,Jessica Andrade,Mackenzie Dern,W/L
328,Tabatha Ricci,Loopy Godinez,L/W
329,Angela Hill,Denise Gomes,W/L
330,Karolina Kowalkiewicz,Iasmin Lucindo,L/W
331,Marnic Mann,Ketlen Souza,L/W
332,Jessica Andrade,Marina Rodriguez,W/L
333,Virna Jandiroba,Loopy Godinez,W/L
334,Josh Culibao,Danny Silva,W/L
335,Yazmin Jauregui,Sam Hughes,W/L
336,Amanda Lemos,Mackenzie Dern,W/L
337,Loma Lookboonmee,Bruna Brasil,W/L
338,Gillian Robertson,Polyana Viana,W/L
339,Steve Garcia,Melquizael Costa,L/W
340,Luana Pinheiro,Amanda Ribas,L/W
341,Eduarda Moura,Montserrat Conejo Ruiz,W/L
342,Ashley Yoder,Emily Ducote,L/W
343,Jared Gooden,Kevin Jousset,
