,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
210,Charles Oliveira,34,70,74.0,34-9-0,04-01,3.54,0.53,3.19,0.51,0.35,2.32,0.4,0.55,2.7,44,0.2273,0.47729999999999995,0.0682,0.7045,10,4,21,4,3,1,0,0,190.0,Lightweight Bout
211,Jalin Turner,28,75,77.0,14-07-0,03-02,6.02,0.48,4.63,0.41,1.39,0.88,0.55,0.75,1.2,21,0.47619999999999996,0.1905,0.0,0.6667000000000001,10,3,4,0,0,4,0,0,-230.0,Lightweight Bout
212,Jalin Turner,28,75,75.5,13-07-0,03-02,5.82,0.48,4.61,0.41,1.21,0.91,0.55,0.75,1.3,20,0.45,0.2,0.0,0.65,9,3,4,0,0,4,0,0,-230.0,Lightweight Bout
213,Jalin Turner,28,75,77.0,14-07-0,03-02,6.02,0.48,4.63,0.41,1.39,0.88,0.55,0.75,1.2,21,0.47619999999999996,0.1905,0.0,0.6667000000000001,10,3,4,0,0,4,0,0,-194.0,Lightweight Bout
214,Jalin Turner,28,75,75.5,13-07-0,03-02,5.82,0.48,4.61,0.41,1.21,0.91,0.55,0.75,1.3,20,0.45,0.2,0.0,0.65,9,3,4,0,0,4,0,0,-194.0,Lightweight Bout
215,Valter Walker,26,78,81.0,11-0-0,5-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5455,0.0909,0.3636,0.6364,6,0,1,0,4,0,0,0,-300.0,Lightweight Bout
216,Kurt Holobaugh,37,71,70.0,20-07-0,03-02,4.89,0.44,4.44,0.48,0.45,0.87,0.36,0.5,1.1,29,0.2759,0.3448,0.10339999999999999,0.6207,8,1,10,1,3,5,0,0,135.0,Lightweight Bout
217,Abdul-Kareem Al-Selwady,33,71,69.0,17-05-0,03-02,4.6,0.28,3.6,0.61,1.0,1.0,0.16,0.0,0.0,18,0.44,0.11,0.28,0.5556,8,3,2,0,5,0,0,0,-182.0,Lightweight Bout
218,Nikolas Motta,30,69,70.5,13-5 (1 NC),2-2 (1 NC),2.65,0.3,4.61,0.52,-1.96,0.0,0.0,0.82,0.0,18,0.5,0.0,0.22,0.5,9,4,0,1,4,0,0,0,270.0,Lightweight Bout
219,Nikolas Motta,30,69,70.5,13-05-0,03-02,3.4,0.34,4.71,0.58,-1.31,0.0,0.0,1.0,0.0,18,0.5,0.0,0.22,0.5,9,4,0,1,4,0,0,0,270.0,Lightweight Bout
220,Nikolas Motta,30,69,70.5,13-5 (1 NC),2-2 (1 NC),2.65,0.3,4.61,0.52,-1.96,0.0,0.0,0.82,0.0,18,0.5,0.0,0.22,0.5,9,4,0,1,4,0,0,0,-110.0,Lightweight Bout
221,Nikolas Motta,30,69,70.5,13-05-0,03-02,3.4,0.34,4.71,0.58,-1.31,0.0,0.0,1.0,0.0,18,0.5,0.0,0.22,0.5,9,4,0,1,4,0,0,0,-110.0,Lightweight Bout
222,Sumudaerji,27,68,72.0,16-05-0,03-02,4.83,0.54,2.75,0.62,2.08,0.32,1.0,0.66,0.6,21,0.62,0.05,0.1,0.6667000000000001,13,0,1,5,2,0,0,0,275.0,Lightweight Bout
223,Drakkar Klose,36,69,70.0,14-02-0,04-01,4.33,0.55,3.4,0.52,0.93,1.78,0.3,0.68,0.0,17,0.3529,0.0,0.4706,0.3529,6,1,0,0,8,1,0,0,-125.0,Lightweight Bout
224,Drakkar Klose,35,69,70.0,13-02-0,04-01,4.38,0.55,3.44,0.52,0.94,1.8,0.3,0.69,0.0,16,0.31,0.0,0.5,0.3125,5,1,0,0,8,1,0,0,-125.0,Lightweight Bout
225,Drakkar Klose,36,69,70.0,14-02-0,04-01,4.33,0.55,3.4,0.52,0.93,1.78,0.3,0.68,0.0,17,0.3529,0.0,0.4706,0.3529,6,1,0,0,8,1,0,0,-153.0,Lightweight Bout
226,Drakkar Klose,35,69,70.0,13-02-0,04-01,4.38,0.55,3.44,0.52,0.94,1.8,0.3,0.69,0.0,16,0.31,0.0,0.5,0.3125,5,1,0,0,8,1,0,0,-153.0,Lightweight Bout
227,Chase Hooper,24,73,74.0,13-03-0,03-02,4.86,0.51,3.59,0.36,1.27,1.42,0.22,0.55,2.2,17,0.2353,0.3529,0.1765,0.5882000000000001,4,1,6,0,3,2,0,0,180.0,Lightweight Bout
228,Chase Hooper,24,73,74.0,12-03-0,03-02,5.0,0.51,3.67,0.36,1.33,1.47,0.22,0.5,2.1,16,0.25,0.31,0.19,0.5625,4,1,5,0,3,2,0,0,180.0,Lightweight Bout
229,Chase Hooper,24,73,74.0,13-03-0,03-02,4.86,0.51,3.59,0.36,1.27,1.42,0.22,0.55,2.2,17,0.2353,0.3529,0.1765,0.5882000000000001,4,1,6,0,3,2,0,0,130.0,Lightweight Bout
230,Chase Hooper,24,73,74.0,12-03-0,03-02,5.0,0.51,3.67,0.36,1.33,1.47,0.22,0.5,2.1,16,0.25,0.31,0.19,0.5625,4,1,5,0,3,2,0,0,130.0,Lightweight Bout
231,Joaquim Silva,35,68,69.0,13-04-0,02-03,3.61,0.41,4.51,0.54,-0.9,0.45,0.6,0.64,0.7,18,0.3889,0.16670000000000001,0.16670000000000001,0.5556,7,3,3,1,3,1,0,0,133.0,Lightweight Bout
232,Joaquim Silva,34,68,69.0,12-04-0,02-03,3.71,0.4,4.79,0.52,-1.08,0.17,0.5,0.58,0.5,16,0.44,0.19,0.13,0.625,7,3,3,0,2,1,0,0,133.0,Lightweight Bout
233,Joaquim Silva,35,68,69.0,13-04-0,02-03,3.61,0.41,4.51,0.54,-0.9,0.45,0.6,0.64,0.7,18,0.3889,0.16670000000000001,0.16670000000000001,0.5556,7,3,3,1,3,1,0,0,-300.0,Middleweight Bout
234,Joaquim Silva,34,68,69.0,12-04-0,02-03,3.71,0.4,4.79,0.52,-1.08,0.17,0.5,0.58,0.5,16,0.44,0.19,0.13,0.625,7,3,3,0,2,1,0,0,-300.0,Middleweight Bout
235,Mauricio Ruffy,27,71,75.0,09-01-0,04-01,4.75,0.58,4.07,0.58,0.68,0.0,0.0,1.0,0.0,10,0.9,0.0,0.0,0.9,9,1,0,0,0,0,0,0,-173.0,Lightweight Bout
