Fight,OUTCOME,Fighter1,Fighter2
Montana De La Rosa  vs. Mayra Bueno Silva ,W/L,Mayra Bueno Silva,Montana De La Rosa
Dustin Poirier  vs. Conor McGregor ,L/W,Conor McGregor,Dustin Poirier
Warlley Alves  vs. Randy Brown ,W/L,Randy Brown,Warlley Alves
Ariane Carnelossi  vs. Angela Hill ,W/L,Angela Hill,Ariane Carnelossi
Andrea Lee  vs. Montana De La Rosa ,L/W,Montana De La Rosa,Andrea Lee
Mayra Bueno Silva  vs. Gillian Robertson ,L/W,Gillian Robertson,Mayra Bueno Silva
Elizeu Zaleski dos Santos  vs. Sean Strickland ,L/W,Sean Strickland,Elizeu Zaleski dos Santos
Randy Brown  vs. Mickey Gall ,L/W,Mickey Gall,Randy Brown
Dustin Poirier  vs. Conor McGregor ,W/L,Conor McGregor,Dustin Poirier
Cub Swanson  vs. Dustin Poirier ,L/W,Dustin Poirier,Cub Swanson
Garrett Armfield  vs. Brad Katona ,L/W,Brad Katona,Garrett Armfield
Carlos Hernandez  vs. Tatsuro Taira ,W/L,Tatsuro Taira,Carlos Hernandez
Dustin Stoltzfus  vs. Punahele Soriano ,L/W,Punahele Soriano,Dustin Stoltzfus
Denise Gomes  vs. Angela Hill ,W/L,Angela Hill,Denise Gomes
Abus Magomedov  vs. Sean Strickland ,W/L,Sean Strickland,Abus Magomedov
Piera Rodriguez  vs. Gillian Robertson ,W/L,Gillian Robertson,Piera Rodriguez
Luana Pinheiro  vs. Michelle Waterson-Gomez ,L/W,Michelle Waterson-Gomez,Luana Pinheiro
Roman Kopylov  vs. Punahele Soriano ,L/W,Punahele Soriano,Roman Kopylov
Emily Ducote  vs. Angela Hill ,W/L,Angela Hill,Emily Ducote
Michael Chandler  vs. Dustin Poirier ,W/L,Dustin Poirier,Michael Chandler
Nate Maness  vs. Tagir Ulanbekov ,W/L,Tagir Ulanbekov,Nate Maness
Khalil Rountree Jr.  vs. Dustin Jacoby ,L/W,Dustin Jacoby,Khalil Rountree Jr.
Dustin Stoltzfus  vs. Abus Magomedov ,W/L,Abus Magomedov,Dustin Stoltzfus
Khaos Williams  vs. Randy Brown ,W/L,Randy Brown,Khaos Williams
