,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM
10,Welterweight,Ramiz Brahimaj,2022-02-26,30.0,510.0,72.0,2.47,41.0,4.08,51.0,0.965,71.0,13.0,3.0,1.9,67.0,58.0,2.37,0.0,0.16,0.0,17.02,38.31,15.27,36.11,0.43,0.0,0.28,0.26,0.4,1.35,1.35,0.23,0.68,0.0,0.0,0.0,0.0,0.88,1.33,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0
11,Middleweight,Abus Magomedov,2023-11-04,33.0,62.0,78.0,3.73,43.0,5.36,55.0,1.63,88.0,31.0,15.0,0.61,50.0,100.0,0.0,0.3,0.13,0.0,21.76,51.73,21.51,50.97,0.39,0.2,0.5,0.34,0.37,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.23,0.45,0.0,0.11,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Middleweight,Warlley Alves,2023-10-21,32.0,511.0,72.0,3.25,48.0,4.21,51.0,0.96,261.0,107.0,101.0,1.35,50.0,80.0,0.94,0.0,0.08,0.21,28.29,49.81,24.3,45.17,0.68,0.17,0.74,0.46,0.88,0.6,0.77,1.4,2.03,0.0,0.0,0.2,0.05,0.85,1.5,0.15,0.4,0.4,0.4,1.2,1.2,0.35,0.35,0.62,0.15,0.47,0.0,0.0,0.5
13,Lightweight,Victor Martinez,2023-02-25,31.0,58.0,70.0,8.65,50.0,7.45,55.0,1.2,145.0,38.0,39.0,0.86,50.0,80.0,0.0,0.16,0.09,0.17,34.93,69.51,34.2,68.3,0.19,0.0,0.16,0.14,0.28,0.0,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.23,0.45,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Lightweight,Tom Nolan,2024-01-13,23.0,63.0,73.0,10.27,57.0,9.45,48.0,0.82,12.0,10.0,3.0,0.0,38.0,67.0,0.0,0.0,0.0,0.0,6.61,11.1,5.94,10.42,0.28,0.45,0.44,0.19,0.48,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Women's Strawweight,Piera Rodriguez,2023-04-15,31.0,53.0,63.5,3.46,47.0,2.98,57.0,0.48,118.0,80.0,16.0,3.31,41.0,67.0,0.0,0.16,0.17,0.0,51.85,98.26,39.22,82.88,0.45,0.0,0.74,0.29,0.61,9.31,9.68,2.75,4.62,0.0,0.0,0.0,0.0,2.5,5.8,0.0,0.54,0.0,0.0,2.0,2.7,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
16,Women's Strawweight,Ariane Carnelossi,2022-05-07,29.0,52.0,61.5,3.04,41.0,4.72,44.0,0.965,100.0,18.0,24.0,1.62,56.0,8.0,0.32,0.0,0.12,0.16,55.59,101.38,27.74,68.24,0.51,0.0,0.66,0.36,0.83,1.97,2.85,3.08,6.45,0.0,0.0,0.6,0.0,1.13,2.0,0.0,0.16,0.0,0.0,3.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
17,Lightweight,Hailey Cowan,2023-04-29,31.0,58.0,67.0,2.97,42.0,3.17,34.0,0.965,51.0,26.0,12.0,1.5,33.0,80.0,0.0,0.0,0.11,0.0,35.27,66.57,21.65,51.34,0.26,0.0,0.32,0.16,0.2,4.28,4.96,1.98,2.98,0.0,0.0,0.0,0.0,0.73,2.23,0.0,0.29,0.0,0.0,2.81,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Lightweight,Tamires Vidal,2023-09-23,24.0,56.0,68.0,4.25,56.0,4.53,58.0,0.965,23.0,10.0,44.0,0.0,0.0,40.0,0.83,0.0,0.07,0.21,24.51,40.49,18.87,33.85,0.3,0.23,0.45,0.15,0.44,0.68,0.68,0.23,0.48,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
19,Women's Strawweight,Emily Ducote,2023-10-14,29.0,52.0,63.0,6.93,48.0,7.98,57.0,0.965,400.0,92.0,94.0,0.25,14.0,93.0,0.0,0.61,0.32,0.54,91.83,186.93,89.02,183.88,0.42,0.0,0.61,0.32,0.74,1.03,1.28,2.3,3.53,0.0,0.0,0.0,0.0,0.25,1.55,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Women's Strawweight,Vanessa Demopoulos,2023-12-02,35.0,52.0,59.5,3.44,43.0,5.06,44.0,0.965,214.0,78.0,37.0,0.49,13.0,30.0,0.65,0.13,0.11,0.0,77.46,147.24,46.22,108.16,0.52,0.2,0.74,0.36,0.57,5.5,6.52,1.9,3.13,0.17,0.17,0.25,0.0,0.57,3.17,0.0,0.12,0.0,0.0,10.31,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
21,Lightweight,Islam Makhachev,2023-10-21,32.0,510.0,70.5,2.46,60.0,1.27,62.0,1.19,244.0,100.0,17.0,3.17,61.0,91.0,1.02,0.0,0.25,0.0,52.76,70.15,27.6,42.91,0.78,0.45,0.75,0.62,0.59,4.96,4.96,1.1,1.58,0.0,0.0,0.0,0.0,1.63,3.38,0.0,0.47,0.0,0.0,4.63,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
22,Lightweight,Dustin Poirier,2024-03-09,35.0,59.0,72.0,5.45,51.0,4.36,53.0,1.09,1383.0,162.0,179.0,1.33,36.0,63.0,1.37,0.0,0.52,0.0,43.63,70.19,36.21,61.72,0.64,0.43,0.85,0.59,0.68,0.0,0.0,2.93,4.7,0.0,0.0,0.0,0.0,0.15,0.55,0.0,0.07,0.0,0.0,5.73,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
23,Middleweight,Sean Strickland,2024-01-20,33.0,61.0,76.0,5.91,42.0,4.33,63.0,1.58,1558.0,233.0,96.0,0.85,64.0,77.0,0.19,0.41,0.39,0.0,150.27,335.58,144.92,328.71,0.45,0.43,0.68,0.41,0.67,0.17,0.17,3.53,4.55,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,0.0,0.0,3.93,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Middleweight,Paulo Costa,2024-02-17,32.0,61.0,72.0,6.2,58.0,6.38,47.0,0.965,333.0,238.0,51.0,0.45,75.0,80.0,0.0,0.48,0.37,2.52,97.24,156.43,88.01,144.95,0.5,0.3,0.69,0.49,0.76,2.12,2.12,0.15,0.37,0.15,0.15,0.0,0.0,0.65,0.65,0.0,0.43,1.78,1.78,3.3,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Heavyweight,Jailton Almeida,2024-03-09,32.0,63.0,79.0,2.54,65.0,0.74,41.0,1.8,10.0,3.0,142.0,6.88,60.0,75.0,2.21,0.0,0.0,0.0,51.08,64.88,20.01,28.31,0.78,0.0,0.33,0.61,0.16,0.23,0.23,0.45,1.58,0.0,0.0,0.23,0.0,4.78,8.36,0.0,0.62,0.65,0.65,17.13,21.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
26,Heavyweight,Alexandr Romanov,2024-06-01,33.0,62.0,75.0,4.06,52.0,2.2,51.0,1.86,118.0,23.0,141.0,4.32,54.0,20.0,0.86,0.0,0.16,0.25,58.64,95.69,39.07,70.52,0.49,0.0,0.46,0.39,0.56,1.6,1.6,0.0,0.4,1.2,1.4,0.2,0.0,2.17,4.65,0.0,0.51,0.6,0.6,11.28,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
27,Welterweight,Randy Brown,2024-02-03,33.0,63.0,78.0,4.37,47.0,3.33,54.0,1.04,556.0,153.0,135.0,0.78,39.0,74.0,0.52,0.15,0.17,0.37,49.77,108.41,44.25,100.59,0.4,0.43,0.56,0.26,0.89,2.25,2.42,1.72,2.47,1.35,1.35,0.17,0.0,0.45,1.22,0.0,0.23,0.0,0.0,0.77,0.77,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17
28,Welterweight,Elizeu Zaleski dos Santos,2023-11-04,36.0,511.0,73.0,4.52,42.0,3.33,57.0,1.19,474.0,189.0,131.0,0.43,14.0,69.0,0.43,0.17,0.25,0.49,92.58,187.77,75.36,162.76,0.47,0.0,0.62,0.33,0.83,5.13,6.35,6.1,10.7,0.17,0.4,0.0,0.0,0.3,2.8,0.0,0.07,1.35,1.35,5.21,6.56,0.15,0.15,0.17,0.0,0.0,0.0,0.17,0.25
29,Middleweight,Cesar Almeida,2024-04-06,36.0,61.0,74.0,4.5,65.0,1.31,51.0,3.19,63.0,25.0,12.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,43.44,58.21,23.27,35.66,0.36,0.0,0.41,0.3,0.42,1.18,1.18,4.49,5.21,1.13,1.13,0.23,0.0,0.0,0.0,0.0,0.0,2.03,2.03,8.64,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Middleweight,Roman Kopylov,2024-02-17,31.0,6.0,75.0,4.66,54.0,4.1,60.0,0.56,206.0,74.0,56.0,0.42,50.0,87.0,0.0,0.16,0.49,0.21,53.03,86.1,49.35,82.19,0.64,0.57,0.95,0.51,0.99,0.4,0.4,2.35,3.35,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Lightweight,Grant Dawson,2023-10-07,29.0,59.0,72.0,2.97,51.0,2.27,46.0,0.7,231.0,75.0,57.0,3.68,36.0,40.0,1.47,0.0,0.07,0.0,61.25,90.71,26.38,48.17,0.53,0.2,0.43,0.42,0.75,1.52,1.52,0.77,0.77,0.0,0.0,0.0,0.0,2.75,6.94,0.0,0.31,1.05,1.05,8.57,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97
32,Lightweight,Joe Solecki,2023-12-02,30.0,59.0,70.5,2.21,56.0,1.53,52.0,0.68,146.0,13.0,16.0,2.65,50.0,50.0,1.51,0.0,0.14,0.0,57.62,86.78,16.78,36.78,0.68,0.0,0.25,0.51,0.75,0.35,0.35,0.7,1.32,0.23,0.23,0.0,0.0,1.75,3.8,0.0,0.46,0.0,0.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28
33,Welterweight,Phil Rowe,2023-06-24,32.0,63.0,80.5,3.94,53.0,4.32,54.0,0.38,198.0,45.0,34.0,0.85,40.0,59.0,0.43,0.0,0.3,0.23,45.23,88.03,38.63,79.85,0.51,0.37,0.58,0.42,0.76,1.47,1.72,3.0,4.33,0.0,0.0,0.3,0.0,0.77,1.85,0.0,0.29,0.0,0.0,0.55,1.23,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.45
34,Welterweight,Jake Matthews,2023-11-18,29.0,511.5,73.0,3.3,45.0,2.56,61.0,0.74,530.0,106.0,79.0,1.59,40.0,63.0,0.62,0.36,0.34,1.653102136708861e+18,58.07,120.54,45.55,105.99,0.49,0.17,0.74,0.37,0.82,0.2,0.2,1.58,2.45,0.0,0.0,0.0,0.0,0.2,0.88,0.0,0.1,0.0,0.0,3.13,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
35,Welterweight,Mickey Gall,2024-06-01,31.0,62.0,74.0,2.94,46.0,4.25,49.0,1.31,177.0,35.0,43.0,1.21,30.0,36.0,1.9,0.18,0.19,0.0,41.42,85.05,37.18,79.96,0.49,0.0,0.59,0.43,0.65,0.47,0.77,2.99,4.41,0.62,0.62,0.37,0.0,0.6,2.97,0.0,0.37,0.0,0.0,1.37,2.09,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.4
36,Welterweight,Bassil Hafez,2024-06-01,31.0,511.0,72.0,2.13,26.0,5.53,39.0,3.4,28.0,4.0,0.0,3.0,15.0,50.0,0.0,0.0,0.06,0.0,12.03,35.34,8.02,31.08,0.09,0.0,0.08,0.06,0.25,0.25,0.25,0.75,1.25,0.0,0.0,0.25,0.0,0.75,5.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Women's Bantamweight,Ailin Perez,2023-11-18,29.0,55.0,66.0,2.96,56.0,1.18,58.0,1.78,32.0,23.0,63.0,4.89,50.0,75.0,0.0,0.0,0.0,0.0,67.64,100.12,27.25,48.78,0.46,0.0,0.47,0.33,0.26,1.73,1.95,2.93,5.03,0.45,0.9,0.0,0.0,2.95,5.98,0.0,0.28,0.2,0.2,14.63,21.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Women's Bantamweight,Joselyne Edwards,2023-09-02,27.0,58.0,70.0,4.71,52.0,3.36,51.0,1.35,429.0,40.0,26.0,1.0,33.0,65.0,0.29,0.22,0.17,0.47,103.6,177.5,70.46,137.0,0.61,0.0,0.69,0.33,0.64,3.17,3.52,2.93,5.25,0.17,0.17,0.23,0.0,1.45,3.35,0.0,0.22,0.0,0.0,2.12,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
39,Flyweight,Tatsuro Taira,2023-12-09,24.0,57.0,70.0,3.51,71.0,1.15,47.0,2.36,130.0,13.0,31.0,2.12,41.0,71.0,2.42,0.0,0.0,0.21,58.0,77.14,34.57,47.84,0.79,0.4,0.66,0.73,0.79,0.5,0.5,0.32,0.75,0.0,0.0,0.52,0.0,1.32,3.02,0.0,0.45,0.57,0.57,20.7,26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
40,Flyweight,Joshua Van,2024-01-13,22.0,55.0,65.0,9.08,53.0,5.77,60.0,3.31,233.0,93.0,33.0,1.14,43.0,79.0,0.0,0.52,0.29,0.4,101.97,174.71,79.95,149.73,0.4,0.25,0.53,0.31,0.61,1.83,2.03,3.91,5.26,0.0,0.0,0.0,0.0,0.7,1.55,0.0,0.36,0.0,0.0,3.26,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Welterweight,HyunSung Park,2023-12-09,28.0,57.0,66.0,4.15,45.0,3.43,60.0,0.72,78.0,13.0,30.0,1.54,27.0,100.0,2.57,0.0,0.16,0.14,29.58,66.76,21.09,51.58,0.21,0.5,0.26,0.16,0.33,0.98,1.48,0.75,2.71,0.0,0.0,0.0,0.0,0.23,0.93,0.0,0.07,0.0,0.0,2.01,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
42,Welterweight,Andre Lima,2024-03-23,25.0,57.0,67.5,3.98,61.0,2.67,61.0,1.31,50.0,19.0,22.0,1.31,67.0,62.0,0.0,0.0,0.21,0.19,28.68,43.13,21.26,35.27,0.31,0.0,0.35,0.23,0.44,0.7,0.7,0.45,0.7,0.0,0.0,0.0,0.0,0.48,0.73,0.0,0.35,0.0,0.0,2.7,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
43,Bantamweight,Raul Rosas Jr.,2023-09-16,19.0,59.0,67.0,1.28,45.0,1.52,46.0,0.965,20.0,1.0,22.0,3.57,33.0,67.0,1.78,0.0,0.0,0.0,22.91,39.83,9.06,20.19,0.42,0.25,0.25,0.34,0.24,0.25,0.25,0.0,0.25,0.0,0.0,0.52,0.0,1.6,5.08,0.0,0.28,0.0,0.0,4.68,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
44,Bantamweight,Ricky Turcios,2022-11-19,30.0,59.0,71.0,5.08,38.0,3.7,55.0,1.38,209.0,50.0,46.0,1.0,25.0,46.0,0.25,0.0,0.22,0.0,88.89,165.29,43.13,115.97,0.36,0.2,0.46,0.27,0.63,1.8,2.0,3.85,6.16,0.0,0.0,0.95,0.0,0.9,2.5,0.0,0.2,0.0,0.0,10.97,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
45,Welterweight,Miguel Baeza,2022-04-16,30.0,62.0,74.5,4.88,49.0,5.1,54.0,0.22,287.0,17.0,28.0,0.44,29.0,100.0,1.77,0.26,0.31,0.4,47.81,103.3,46.31,100.61,0.48,0.3,0.68,0.33,0.89,0.35,0.5,0.17,0.17,0.15,0.15,0.0,0.0,0.17,0.8,0.0,0.09,0.3,0.3,1.62,1.92,0.0,0.0,0.32,0.17,0.15,0.0,0.0,1.3
46,Welterweight,Punahele Soriano,2023-12-02,31.0,511.0,72.5,3.96,45.0,4.55,48.0,0.59,232.0,22.0,47.0,0.79,40.0,33.0,0.0,0.1,0.29,0.0,43.64,89.06,37.68,82.67,0.5,0.2,0.81,0.39,0.26,0.97,0.97,2.23,3.7,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,2.1,2.1,2.72,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Light Heavyweight,Dominick Reyes,2024-06-08,34.0,64.0,77.0,4.75,50.0,3.77,48.0,0.98,331.0,121.0,88.0,0.36,29.0,81.0,0.36,0.35,0.19,0.13,42.91,86.63,41.11,84.43,0.51,0.15,0.68,0.34,0.69,0.57,0.57,1.17,1.17,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,1.72,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
48,Light Heavyweight,Dustin Jacoby,2024-06-08,35.0,63.0,76.0,5.53,48.0,4.07,58.0,1.46,788.0,136.0,149.0,0.36,25.0,60.0,0.0,0.14,0.27,0.32,73.18,132.02,61.42,119.21,0.52,0.37,0.55,0.39,0.92,3.06,3.06,2.2,2.58,0.0,0.0,0.0,0.0,0.2,1.72,0.0,0.03,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bantamweight,Brad Katona,2024-01-20,32.0,56.0,64.5,4.71,50.0,4.98,48.0,0.27,286.0,59.0,79.0,1.5,27.0,53.0,0.0,0.15,0.17,0.21,58.03,116.79,52.09,108.92,0.23,0.0,0.38,0.19,0.43,2.53,3.43,8.67,14.13,0.5,0.5,0.0,0.0,1.0,2.71,0.0,0.11,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Bantamweight,Jesse Butler,2023-06-03,31.0,510.0,73.0,2.61,14.0,7.83,40.0,0.965,1.0,0.0,0.0,0.0,38.0,67.0,0.0,0.0,0.0,0.0,0.25,1.75,0.25,1.75,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bantamweight,Cody Stamann,2023-05-13,33.0,66.5,64.5,4.39,48.0,3.63,63.0,0.76,465.0,169.0,70.0,2.34,40.0,76.0,0.0,0.27,0.21,0.0,58.35,115.68,49.49,105.74,0.49,0.45,0.6,0.41,0.71,1.05,1.05,2.7,3.87,0.0,0.0,0.15,0.0,0.4,2.65,0.0,0.09,0.0,0.0,2.6,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Bantamweight,Taylor Lapilus,2024-01-13,31.0,60.0,73.0,3.91,47.0,2.37,61.0,1.54,213.0,76.0,29.0,0.37,40.0,78.0,0.37,1.7258142638297874e+18,0.39,1.7176715234042555e+18,62.78,128.09,60.83,126.14,0.48,0.0,0.73,0.4,0.74,3.37,4.79,1.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,2.05,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Welterweight,Charles Radtke,2024-02-03,33.0,59.0,72.0,3.9699999999999998,48.0,4.09,51.0,0.965,0.0,0.0,0.0,1.11,38.0,67.0,0.36,0.0,0.23,0.0,22.47,38.02,15.41,28.9,0.29,0.5,0.23,0.24,0.25,0.0,0.0,1.8,3.83,0.0,0.0,0.0,0.0,0.23,1.35,0.0,0.04,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Welterweight,Carlos Prates,2024-02-10,30.0,61.0,78.0,4.38,56.0,5.95,38.0,0.965,67.0,0.0,0.0,1.11,38.0,67.0,0.36,0.17,0.12,0.18,16.28,28.89,16.03,28.64,0.27,0.48,0.4,0.15,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Middleweight,Brunno Ferreira,2024-01-13,31.0,511.0,72.0,5.0,50.0,4.17,48.0,0.965,44.0,5.0,11.0,1.25,17.0,67.0,0.36,0.0,0.19,0.0,14.09,27.15,12.63,25.45,0.47,0.63,0.27,0.41,0.79,0.17,0.68,0.72,0.97,0.0,0.0,0.0,0.0,0.25,1.4,0.0,0.06,0.0,0.0,1.9,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Middleweight,Dustin Stoltzfus,2023-12-02,32.0,60.0,75.0,3.49,44.0,3.29,48.0,0.965,124.0,53.0,63.0,2.4,41.0,46.0,0.66,0.21,0.16,0.42,61.26,113.93,37.94,87.95,0.44,0.25,0.65,0.23,0.7,1.55,1.55,0.35,1.48,0.0,0.15,0.15,0.0,2.1,3.9,0.0,0.4,0.0,0.0,3.22,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
