,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Control Time per Position Distance,Control Time per Position Clinch,Control Time per Position Ground,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,Ground Control Time,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,
11,Middleweight,Abus Magomedov,2023-11-04 00:00:00,33.0,6 ft 2 in,78 in,3.73,43,5.36,55,1.63,88.0,31.0,15.0,xx,xx,xx,0.61,50,100,0,xx,0.3,0.13,0.0,21.76,51.73,21.51,50.97,0.39,0.2,0.5,0.34,0.37,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.23,0.45,0.0,0.11,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,Middleweight,Warlley Alves,2023-10-21 00:00:00,32.0,5 ft 11 in,72 in,3.25,48,4.21,51,0.96,261.0,107.0,101.0,xx,xx,xx,1.35,50,80,0.94,xx,0.0,0.08,0.21,28.29,49.81,24.3,45.17,0.68,0.17,0.74,0.46,0.88,0.6,0.77,1.4,2.03,0.0,0.0,0.2,0.05,0.85,1.5,0.15,0.4,0.4,0.4,1.2,1.2,0.35,0.35,0.62,0.15,0.47,0.0,0.0,0.5,
13,Lightweight,Victor Martinez,2023-02-25 00:00:00,31.0,5 ft 8 in,70 in,8.65,50,7.45,55,1.2,145.0,38.0,39.0,xx,xx,xx,0.86,50,80,0,xx,0.16,0.09,0.17,34.93,69.51,34.2,68.3,0.19,0.0,0.16,0.14,0.28,0.0,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.23,0.45,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Lightweight,Tom Nolan,2024-01-13 00:00:00,23.0,6 ft 3 in,73 in,10.27,57,9.45,48,0.82,12.0,10.0,3.0,xx,xx,xx,0,xx,xx,0,xx,0.0,0.0,0.0,6.61,11.1,5.94,10.42,0.28,0.45,0.44,0.19,0.48,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Women's Strawweight,Piera Rodriguez,2023-04-15 00:00:00,31.0,5 ft 3 in,63.5 in,3.46,47,2.98,57,0.48,118.0,80.0,16.0,xx,xx,xx,3.31,41,67,0,13:35:00,0.16,0.17,0.0,51.85,98.26,39.22,82.88,0.45,0.0,0.74,0.29,0.61,9.31,9.68,2.75,4.62,0.0,0.0,0.0,0.0,2.5,5.8,0.0,0.54,0.0,0.0,2.0,2.7,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,
16,Women's Strawweight,Ariane Carnelossi,2022-05-07 00:00:00,29.0,5 ft 2 in,61.5 in,3.04,41,4.72,44,xx,100.0,18.0,24.0,xx,xx,xx,1.62,56,8,0.32,11:35:00,0.0,0.12,0.16,55.59,101.38,27.74,68.24,0.51,0.0,0.66,0.36,0.83,1.97,2.85,3.08,6.45,0.0,0.0,0.6,0.0,1.13,2.0,0.0,0.16,0.0,0.0,3.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,
17,Lightweight,Hailey Cowan,2023-04-29 00:00:00,31.0,5 ft 8 in,67 in,2.97,42,3.17,34,xx,51.0,26.0,12.0,xx,xx,xx,1.5,33,80,0,xx,0.0,0.11,0.0,35.27,66.57,21.65,51.34,0.26,0.0,0.32,0.16,0.2,4.28,4.96,1.98,2.98,0.0,0.0,0.0,0.0,0.73,2.23,0.0,0.29,0.0,0.0,2.81,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,Lightweight,Tamires Vidal,2023-09-23 00:00:00,24.0,5 ft 6 in,68 in,4.25,56,4.53,58,xx,23.0,10.0,44.0,xx,xx,xx,0,0,40,0.83,xx,0.0,0.07,0.21,24.51,40.49,18.87,33.85,0.3,0.23,0.45,0.15,0.44,0.68,0.68,0.23,0.48,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,
19,Women's Strawweight,Emily Ducote,2023-10-14 00:00:00,29.0,5 ft 2 in,63 in,6.93,48,7.98,57,xx,400.0,92.0,94.0,xx,xx,xx,0.25,14,93,0,15:00:00,0.61,0.32,0.54,91.83,186.93,89.02,183.88,0.42,0.0,0.61,0.32,0.74,1.03,1.28,2.3,3.53,0.0,0.0,0.0,0.0,0.25,1.55,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Women's Strawweight,Vanessa Demopoulos,xx/xx/xx,35.0,5 ft 2 in,59.5 in,3.44,43,5.06,44,xx,214.0,78.0,37.0,xx,xx,xx,0.49,13,30,0.65,xx,0.13,0.11,0.0,77.46,147.24,46.22,108.16,0.52,0.2,0.74,0.36,0.57,5.5,6.52,1.9,3.13,0.17,0.17,0.25,0.0,0.57,3.17,0.0,0.12,0.0,0.0,10.31,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,
